park_name,SDI,SDI_pred,residual
"Rocky Mountain National Park, US, CO",6.576393349105045,6.041915581856118,0.5344777672489265
"Chaco Culture National Historical Park, US, NM",5.452542316350255,5.982431054663987,-0.5298887383137325
"Congaree National Park, US, SC",6.824747693719274,6.301142423418858,0.5236052703004166
"Mount Rainier National Park, US, WA",6.551912395558048,6.029562127671944,0.5223502678861038
"Cape Hatteras National Seashore, US, NC",6.588888447732181,6.0667568770833435,0.5221315706488374
"Cowpens National Battlefield, US, SC",5.819477015201563,6.339742632172199,-0.5202656169706366
"Piscataway Park, US, MD",6.848325823038343,6.333787251405695,0.5145385716326478
"Catoctin Mountain Park, US, MD",6.895157338331886,6.38690752993804,0.5082498083938463
"Glacier National Park, US, MT",6.682609593152081,6.182133919875949,0.5004756732761315
"Canaveral National Seashore, US, FL",6.560820652486963,6.0667568770833435,0.49406377540361923
"Guadalupe Mountains National Park, US, TX",6.504000455854459,6.03240847234984,0.4715919835046183
"Appomattox Court House National Historical Park, US, VA",5.853494427108464,6.31578351027585,-0.46228908316738604
"De Soto National Memorial, US, FL",5.569063019012475,6.029076429394202,-0.46001341038172683
"Bryce Canyon National Park, US, UT",5.545329523613326,6.004364240578907,-0.45903471696558107
"Jewel Cave National Monument, US, SD",5.613585871211872,6.068797265590891,-0.4552113943790186
"Devils Tower National Monument, US, WY",5.637837432932327,6.093023641918117,-0.45518620898579076
"Monocacy National Battlefield, US, MD",6.668471697942691,6.222761418151019,0.44571027979167166
"Devils Postpile National Monument, US, CA",5.629659912378838,6.063921663195697,-0.4342617508168596
"Timucuan Ecological and Historic Preserve, US, FL",6.596393201415437,6.169223030665006,0.42717017075043096
"Fort Pulaski National Monument, US, GA",5.640892112988213,6.0667568770833435,-0.42586476409513097
"Grand Canyon National Park, US, AZ",6.4154545106873835,5.991242589621432,0.4242119210659512
"Big Hole National Battlefield, US, MT",4.680568968315428,5.101359171764105,-0.4207902034486768
"Pictured Rocks National Lakeshore, US, MI",6.800317772613749,6.385012327928692,0.4153054446850568
"Fort Raleigh National Historic Site, US, NC",5.9070456441740955,6.307193221700261,-0.40014757752616514
"Cedar Breaks National Monument, US, UT",5.524991362825565,5.921003572343862,-0.39601220951829674
"El Morro National Monument, US, NM",5.535381926180643,5.927843785147238,-0.3924618589665947
"Redwood National Park, US, CA",6.839219905332746,6.456432984057425,0.3827869212753203
"Fire Island National Seashore, US, NY",6.443772554973461,6.0667568770833435,0.3770156778901175
"Scotts Bluff National Monument, US, NE",5.602630780640342,5.965540493501061,-0.36290971286071905
"Badlands National Park, US, SD",5.632850365801798,5.993231827154718,-0.3603814613529197
"Dinosaur National Monument, US, CO",6.300723735445165,5.947916859293038,0.352806876152127
"Vanderbilt Mansion National Historic Site, US, NY",5.956622912538114,6.305201855448418,-0.34857894291030433
"Tuzigoot National Monument, US, AZ",6.317323842563232,5.980995856373515,0.3363279861897164
"Fort Necessity National Battlefield, US, PA",6.0560389688226355,6.387687375007173,-0.33164840618453795
"Guilford Courthouse National Military Park, US, NC",6.0234897653031165,6.326737224785493,-0.3032474594823764
"Grand Portage National Monument, US, MN",6.047751622738862,6.349731941953509,-0.3019803192146471
"Fort Caroline National Memorial, US, FL",6.003185546730975,6.30198370986422,-0.29879816313324437
"Wilson's Creek National Battlefield, US, MO",6.0006088743295285,6.286885521821557,-0.28627664749202886
"Arches National Park, US, UT",5.658979886910044,5.944436567438489,-0.2854566805284451
"Petroglyph National Monument, US, NM",5.578249880386009,5.857998639400422,-0.27974875901441276
"Curecanti National Recreation Area, US, CO",6.253478410000659,5.974915125364292,0.27856328463636704
"Florissant Fossil Beds National Monument, US, CO",5.807360842141452,6.080293281448064,-0.2729324393066124
"Petersburg National Battlefield, US, VA",6.474076694656132,6.2103538298563175,0.26372286479981444
"Fort Point National Historic Site, US, CA",5.807754766527321,6.0667568770833435,-0.25900211055602274
"Yellowstone National Park, US, WY",6.459104291860161,6.2011053500998,0.257998941760361
"Hopewell Culture National Historical Park, US, OH",5.987856035691602,6.244829000061631,-0.2569729643700285
"Saratoga National Historical Park, US, NY",6.166281799136209,6.40289957226111,-0.23661777312490084
"Palo Alto Battlefield National Historical Park, US, TX",5.869914275702712,6.099077815415204,-0.22916353971249226
"Hopewell Furnace National Historic Site, US, PA",6.56926456029842,6.343272006379848,0.2259925539185721
"John Day Fossil Beds National Monument, US, OR",5.797474032281173,6.007512979269522,-0.21003894698834902
"Petrified Forest National Park, US, AZ",6.223846603751639,6.028800963902141,0.1950456398494982
"Allegheny Portage Railroad National Historic Site, US, PA",6.201319607544297,6.384086103944979,-0.18276649640068143
"Cabrillo National Monument, US, CA",6.2910996835463555,6.1148187361636674,0.17628094738268807
"Bighorn Canyon National Recreation Area, US, MT",5.801983893049706,5.9758131376816035,-0.17382924463189742
"Morristown National Historical Park, US, NJ",6.21282491736358,6.382131412727165,-0.16930649536358455
"Abraham Lincoln Birthplace National Historical Park, US, KY",5.993602710857704,6.161068208747536,-0.16746549788983156
"Colorado National Monument, US, CO",5.784129473094354,5.951442496817367,-0.16731302372301293
"Russell Cave National Monument, US, AL",6.176493911259689,6.327943151945216,-0.151449240685527
"George Washington Carver National Monument, US, MO",6.1333873854471275,6.274431751742944,-0.14104436629581674
"Crater Lake National Park, US, OR",5.950301522630475,6.070392709755103,-0.1200911871246273
"Montezuma Castle National Monument, US, AZ",5.871708602296997,5.98271835697035,-0.11100975467335328
"Apostle Islands National Lakeshore, US, WI",6.492174439928847,6.3864687652778045,0.10570567465104208
"Capulin Volcano National Monument, US, NM",6.123974916573785,6.022493314260023,0.10148160231376213
"Wind Cave National Park, US, SD",6.164829138002465,6.0665392962324995,0.09828984176996514
"Canyonlands National Park, US, UT",5.998663799556963,5.901988434100801,0.09667536545616251
"Padre Island National Seashore, US, TX",5.9744755972956725,6.0667568770833435,-0.09228127978767109
"El Malpais National Monument, US, NM",6.04979071894464,5.961332746889651,0.08845797205498851
"Biscayne National Park, US, FL",6.154167684093881,6.0667568770833435,0.08741080701053772
"Capitol Reef National Park, US, UT",6.028095594068586,5.946765961037035,0.08132963303155094
"City of Rocks National Reserve, US, ID",6.105065455213353,6.026005983460516,0.07905947175283679
"Gauley River National Recreation Area, US, WV",6.295977402590441,6.374038892981166,-0.0780614903907253
"Pea Ridge National Military Park, US, AR",6.236799243102922,6.308719700944704,-0.0719204578417818
"Mesa Verde National Park, US, CO",5.960078510041061,6.022592048080569,-0.0625135380395081
"Homestead National Historical Park, US, NE",6.258604113437606,6.1985968236182405,0.06000728981936554
"North Cascades National Park, US, WA",6.288527926321937,6.243711807903459,0.04481611841847766
"Fossil Butte National Monument, US, WY",5.933857947220183,5.971439828170906,-0.037581880950723345
"Fort Matanzas National Monument, US, FL",6.047232966871491,6.076995947245346,-0.02976298037385572
"Cape Lookout National Seashore, US, NC",6.043836871325155,6.027258513058323,0.016578358266832183
"Black Canyon of the Gunnison National Park, US, CO",6.024060725194145,6.012479741196428,0.011580983997717453
"Joshua Tree National Park, US, CA",6.0073466947088265,5.995770458880022,0.011576235828804293
"Theodore Roosevelt National Park, US, ND",6.031136497369092,6.039557672291451,-0.008421174922359498
"Jean Lafitte National Historical Park and Preserve, US, LA",6.1453644070485325,6.150999245697584,-0.0056348386490512326
